iterations,voters,mean,mean_bucket,std,majority_correct_with_equal_expertise,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
1000,9,0.8,,0.11,0.989,,,,,
1000,11,0.8,,0.11,0.987,,,,,
1000,21,0.8,,0.11,0.998,,,,,
1000,31,0.8,,0.11,1,,,,,
1000,41,0.8,,0.11,1,,,,,
1000,51,0.8,,0.11,1,,,,,
1000,3,0.8,,0.12,0.895,,,,,
1000,5,0.8,,0.12,0.932,,,,,
1000,7,0.8,,0.12,0.966,,,,,
1000,9,0.8,,0.12,0.976,,,,,
1000,11,0.8,,0.12,0.988,,,,,
1000,21,0.8,,0.12,1,,,,,
1000,31,0.8,,0.12,1,,,,,
1000,41,0.8,,0.12,1,,,,,
1000,51,0.8,,0.12,1,,,,,
1000,3,0.9,,0.02,0.974,,,,,
1000,5,0.9,,0.02,0.99,,,,,
1000,7,0.9,,0.02,0.999,,,,,
1000,9,0.9,,0.02,0.999,,,,,
1000,11,0.9,,0.02,1,,,,,
1000,21,0.9,,0.02,1,,,,,
1000,31,0.9,,0.02,1,,,,,
1000,41,0.9,,0.02,1,,,,,
1000,51,0.9,,0.02,1,,,,,
1000,3,0.9,,0.03,0.967,,,,,
1000,5,0.9,,0.03,0.99,,,,,
1000,7,0.9,,0.03,0.996,,,,,
1000,9,0.9,,0.03,1,,,,,
1000,11,0.9,,0.03,1,,,,,
1000,21,0.9,,0.03,1,,,,,
1000,31,0.9,,0.03,1,,,,,
1000,41,0.9,,0.03,1,,,,,
1000,51,0.9,,0.03,1,,,,,
1000,3,0.9,,0.04,0.968,,,,,
1000,5,0.9,,0.04,0.986,,,,,
1000,7,0.9,,0.04,0.993,,,,,
1000,9,0.9,,0.04,1,,,,,
1000,11,0.9,,0.04,1,,,,,
1000,21,0.9,,0.04,1,,,,,
1000,31,0.9,,0.04,1,,,,,
1000,41,0.9,,0.04,1,,,,,
1000,51,0.9,,0.04,1,,,,,
1000,3,0.9,,0.06,0.96,,,,,
1000,5,0.9,,0.06,0.991,,,,,
1000,7,0.9,,0.06,0.998,,,,,
1000,9,0.9,,0.06,1,,,,,
1000,11,0.9,,0.06,1,,,,,
1000,21,0.9,,0.06,1,,,,,
1000,31,0.9,,0.06,1,,,,,
1000,41,0.9,,0.06,1,,,,,
1000,51,0.9,,0.06,1,,,,,
1000,3,0.9,,0.07,0.98,,,,,
1000,5,0.9,,0.07,0.992,,,,,
1000,7,0.9,,0.07,0.999,,,,,
1000,9,0.9,,0.07,0.998,,,,,
1000,11,0.9,,0.07,1,,,,,
1000,21,0.9,,0.07,1,,,,,
