,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct
149,1000,5,0.95,,0.08,,0.374,0.626,0.624,0.067,0.002,0.002,0.929,0.998,0.995,0.971,0.998,0.998,0.997,0.997,1.0,0.997,1.0,0.0030000000000000027
150,1000,5,0.95,,0.1,,0.265,0.735,0.7290000000000001,0.114,0.006,0.006,0.924,0.992,0.99,0.968,0.991,0.992,0.996,0.997,0.9990000000000001,0.996,1.0,0.0020000000000000018
151,1000,5,0.95,,0.11,,0.222,0.778,0.7709999999999999,0.121,0.006999999999999999,0.006999999999999999,0.9209999999999999,0.995,0.995,0.9790000000000001,0.995,0.995,1.0,1.0,1.0,1.0,1.0,0.0
152,1000,5,0.95,,0.12,,0.21100000000000002,0.789,0.785,0.133,0.004,0.004,0.904,0.988,0.983,0.965,0.987,0.988,0.991,0.9940000000000001,0.997,0.991,1.0,0.0050000000000000044
153,1000,5,1.0,,0.02,,0.7609999999999999,0.239,0.239,0.018000000000000002,0.0,0.0,0.992,1.0,1.0,0.997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
154,1000,5,1.0,,0.03,,0.652,0.348,0.348,0.019,0.0,0.0,0.9840000000000001,1.0,1.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
155,1000,5,1.0,,0.04,,0.591,0.409,0.409,0.023,0.0,0.0,0.9840000000000001,0.996,0.996,0.991,0.996,0.996,1.0,1.0,1.0,1.0,1.0,0.0
156,1000,5,1.0,,0.06,,0.5,0.5,0.5,0.037000000000000005,0.0,0.0,0.958,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
157,1000,5,1.0,,0.07,,0.439,0.561,0.56,0.055999999999999994,0.001,0.001,0.953,0.997,0.997,0.982,0.997,0.997,1.0,1.0,1.0,1.0,1.0,0.0
158,1000,5,1.0,,0.08,,0.391,0.609,0.608,0.055,0.001,0.001,0.958,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
159,1000,5,1.0,,0.1,,0.313,0.687,0.6859999999999999,0.086,0.001,0.001,0.934,0.996,0.993,0.976,0.996,0.996,0.997,0.997,1.0,0.997,1.0,0.0030000000000000027
160,1000,5,1.0,,0.11,,0.263,0.737,0.73,0.106,0.006999999999999999,0.006999999999999999,0.93,0.995,0.996,0.981,0.995,0.995,0.9990000000000001,0.9990000000000001,1.0,0.9990000000000001,1.0,-0.0010000000000000009
161,1000,5,1.0,,0.12,,0.245,0.755,0.7490000000000001,0.11900000000000001,0.006,0.006,0.922,0.997,0.997,0.982,0.997,0.997,0.998,0.998,1.0,0.998,1.0,0.0
