iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,minority_colluding,optimal_agrees_majority
1000.0,7.0,0.85,,0.12,,0.002,0.869,0.118,0.011,0.007,0.866,0.99
1000.0,7.0,0.85,,0.13,,0.001,0.797,0.18,0.022,0.017,0.87,0.991
1000.0,7.0,0.85,,0.14,,0.0,0.703,0.257,0.04,0.03,0.898,0.991
1000.0,7.0,0.9,,0.02,,0.994,0.006,0.0,0.0,0.0,0.796,1.0
1000.0,7.0,0.9,,0.03,,0.845,0.155,0.0,0.0,0.0,0.795,1.0
1000.0,7.0,0.9,,0.04,,0.518,0.482,0.0,0.0,0.0,0.818,0.999
1000.0,7.0,0.9,,0.07,,0.035,0.957,0.008,0.0,0.0,0.879,0.998
1000.0,7.0,0.9,,0.08,,0.016,0.953,0.031,0.0,0.0,0.888,0.995
1000.0,7.0,0.9,,0.09,,0.011,0.947,0.04,0.002,0.001,0.912,0.998
1000.0,7.0,0.9,,0.12,,0.002,0.736,0.222,0.04,0.032,0.95,0.997
1000.0,7.0,0.9,,0.13,,0.002,0.641,0.281,0.077,0.064,0.961,0.999
1000.0,7.0,0.9,,0.14,,0.003,0.555,0.32,0.125,0.096,0.981,0.996
1000.0,7.0,0.95,,0.02,,0.889,0.111,0.0,0.0,0.0,0.909,1.0
1000.0,7.0,0.95,,0.03,,0.418,0.582,0.0,0.0,0.0,0.934,1.0
1000.0,7.0,0.95,,0.04,,0.132,0.863,0.005,0.0,0.0,0.935,0.999
1000.0,7.0,0.95,,0.07,,0.002,0.938,0.05,0.01,0.009,0.972,1.0
1000.0,7.0,0.95,,0.08,,0.003,0.851,0.113,0.033,0.029,0.987,1.0
1000.0,7.0,0.95,,0.09,,0.013,0.778,0.175,0.046,0.03,0.991,1.0
1000.0,7.0,0.95,,0.12,,0.598,0.195,0.176,0.629,0.01,0.999,1.0
1000.0,7.0,0.95,,0.13,,0.882,0.049,0.054,0.897,0.007,0.999,1.0
1000.0,7.0,0.95,,0.14,,0.995,0.001,0.003,0.996,0.0,1.0,1.0
1000.0,9.0,0.55,,0.02,,0.001,0.999,0.0,0.0,0.0,0.168,0.914
1000.0,9.0,0.55,,0.03,,0.001,0.981,0.018,0.0,0.0,0.153,0.863
1000.0,9.0,0.55,,0.04,,0.0,0.877,0.115,0.008,0.004,0.159,0.799
1000.0,9.0,0.55,,0.07,,0.0,0.134,0.449,0.417,0.282,0.148,0.683
1000.0,9.0,0.55,,0.08,,0.0,0.043,0.363,0.594,0.439,0.164,0.727
1000.0,9.0,0.55,,0.09,,0.0,0.008,0.244,0.748,0.551,0.169,0.705
1000.0,9.0,0.55,,0.12,,0.0,0.0,0.02,0.98,0.87,0.17,0.666
1000.0,9.0,0.55,,0.13,,0.0,0.0,0.002,0.998,0.938,0.162,0.674
1000.0,9.0,0.55,,0.14,,0.013,0.0,0.001,0.999,0.961,0.165,0.665
1000.0,9.0,0.6,,0.02,,0.149,0.851,0.0,0.0,0.0,0.171,0.976
1000.0,9.0,0.6,,0.03,,0.023,0.976,0.001,0.0,0.0,0.183,0.939
1000.0,9.0,0.6,,0.04,,0.001,0.998,0.001,0.0,0.0,0.158,0.92
1000.0,9.0,0.6,,0.07,,0.0,0.896,0.102,0.002,0.002,0.197,0.838
1000.0,9.0,0.6,,0.08,,0.0,0.814,0.178,0.008,0.006,0.217,0.83
1000.0,9.0,0.6,,0.09,,0.0,0.63,0.315,0.055,0.037,0.235,0.781
1000.0,9.0,0.6,,0.12,,0.0,0.142,0.528,0.33,0.226,0.244,0.784
1000.0,9.0,0.6,,0.13,,0.0,0.055,0.422,0.523,0.341,0.251,0.762
1000.0,9.0,0.6,,0.14,,0.0,0.026,0.356,0.618,0.428,0.279,0.784
1000.0,9.0,0.65,,0.02,,0.634,0.366,0.0,0.0,0.0,0.233,0.995
1000.0,9.0,0.65,,0.03,,0.144,0.856,0.0,0.0,0.0,0.202,0.98
1000.0,9.0,0.65,,0.04,,0.02,0.98,0.0,0.0,0.0,0.228,0.958
1000.0,9.0,0.65,,0.07,,0.0,0.991,0.009,0.0,0.0,0.242,0.926
1000.0,9.0,0.65,,0.08,,0.0,0.985,0.015,0.0,0.0,0.266,0.9
1000.0,9.0,0.65,,0.09,,0.0,0.937,0.062,0.001,0.001,0.261,0.894
1000.0,9.0,0.65,,0.12,,0.0,0.64,0.313,0.047,0.027,0.342,0.856
1000.0,9.0,0.65,,0.13,,0.0,0.498,0.417,0.085,0.054,0.343,0.863
1000.0,9.0,0.65,,0.14,,0.0,0.352,0.504,0.144,0.092,0.352,0.851
1000.0,9.0,0.7,,0.02,,0.883,0.117,0.0,0.0,0.0,0.257,0.999
1000.0,9.0,0.7,,0.03,,0.359,0.641,0.0,0.0,0.0,0.29,0.991
1000.0,9.0,0.7,,0.04,,0.112,0.888,0.0,0.0,0.0,0.305,0.986
1000.0,9.0,0.7,,0.07,,0.002,0.997,0.001,0.0,0.0,0.335,0.952
1000.0,9.0,0.7,,0.08,,0.001,0.997,0.002,0.0,0.0,0.378,0.948
1000.0,9.0,0.7,,0.09,,0.001,0.99,0.009,0.0,0.0,0.353,0.942
1000.0,9.0,0.7,,0.12,,0.0,0.896,0.098,0.006,0.005,0.43,0.919
1000.0,9.0,0.7,,0.13,,0.0,0.79,0.191,0.019,0.015,0.446,0.923
1000.0,9.0,0.7,,0.14,,0.0,0.667,0.297,0.036,0.022,0.461,0.924
1000.0,9.0,0.75,,0.02,,0.983,0.017,0.0,0.0,0.0,0.369,1.0
1000.0,9.0,0.75,,0.03,,0.582,0.418,0.0,0.0,0.0,0.361,0.999
1000.0,9.0,0.75,,0.04,,0.217,0.783,0.0,0.0,0.0,0.37,0.997
1000.0,9.0,0.75,,0.07,,0.003,0.997,0.0,0.0,0.0,0.435,0.978
1000.0,9.0,0.75,,0.08,,0.002,0.998,0.0,0.0,0.0,0.451,0.966
1000.0,9.0,0.75,,0.09,,0.001,0.994,0.005,0.0,0.0,0.485,0.973
1000.0,9.0,0.75,,0.12,,0.0,0.955,0.045,0.0,0.0,0.532,0.968
