,Unnamed: 0,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct,d_majority_correct_d_voters
215,215,1000,7,0.8,,0.12,,0.013,0.987,0.985,0.091,0.002,0.002,0.685,0.972,0.95,0.934,0.956,0.971,0.966,0.994,0.972,0.967,0.999,0.02200000000000002,0.0129999999999999
296,296,1000,9,0.8,,0.12,,0.002,0.998,0.998,0.022,0.0,0.0,0.616,0.982,0.968,0.925,0.969,0.982,0.98,0.997,0.983,0.98,1.0,0.014000000000000012,0.018000000000000016
377,377,1000,11,0.8,,0.12,,0.0,1.0,1.0,0.005,0.0,0.0,0.526,0.993,0.988,0.932,0.988,0.994,0.987,1.0,0.987,0.99,0.997,0.0050000000000000044,0.020000000000000018
458,458,1000,21,0.8,,0.12,,0.0,1.0,1.0,0.0,0.0,0.0,0.269,1.0,0.999,0.968,0.999,1.0,0.999,1.0,0.999,0.999,1.0,0.00099999999999989,0.01100000000000001
538,538,1000,31,0.8,,0.12,,0.0,1.0,1.0,,0.0,0.0,0.134,1.0,1.0,0.974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
619,619,1000,41,0.8,,0.12,,0.0,1.0,1.0,,0.0,0.0,0.062,1.0,1.0,0.976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
700,700,1000,51,0.8,,0.12,,0.0,1.0,1.0,,0.0,0.0,0.041,1.0,1.0,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
54,54,1000,3,0.9,,0.02,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.965,0.965,0.917,0.965,0.965,1.0,1.0,1.0,1.0,1.0,0.0,0.0
135,135,1000,5,0.9,,0.02,,1.0,0.0,0.0,0.0,0.0,0.0,0.843,0.991,0.991,0.931,0.991,0.991,1.0,1.0,1.0,1.0,1.0,0.0,0.026000000000000023
216,216,1000,7,0.9,,0.02,,0.992,0.008,0.008,0.0,0.0,0.0,0.774,0.997,0.997,0.924,0.997,0.997,1.0,1.0,1.0,1.0,1.0,0.0,0.006000000000000005
297,297,1000,9,0.9,,0.02,,0.934,0.066,0.066,0.0,0.0,0.0,0.696,0.999,0.999,0.917,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
378,378,1000,11,0.9,,0.02,,0.762,0.238,0.238,0.0,0.0,0.0,0.635,1.0,1.0,0.932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
459,459,1000,21,0.9,,0.02,,0.008,0.992,0.992,0.0,0.0,0.0,0.42,1.0,1.0,0.933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
539,539,1000,31,0.9,,0.02,,0.0,1.0,1.0,,0.0,0.0,0.261,1.0,1.0,0.949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
620,620,1000,41,0.9,,0.02,,0.0,1.0,1.0,,0.0,0.0,0.196,1.0,1.0,0.938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
701,701,1000,51,0.9,,0.02,,0.0,1.0,1.0,,0.0,0.0,0.099,1.0,1.0,0.959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
55,55,1000,3,0.9,,0.03,,0.99,0.01,0.0,0.01,0.01,0.01,1.0,0.956,0.958,0.906,0.956,0.956,0.998,0.998,1.0,0.998,1.0,-0.0020000000000000018,0.0
136,136,1000,5,0.9,,0.03,,0.956,0.044,0.044,0.003,0.0,0.0,0.86,0.992,0.992,0.928,0.992,0.992,1.0,1.0,1.0,1.0,1.0,0.0,0.03400000000000003
217,217,1000,7,0.9,,0.03,,0.7879999999999999,0.212,0.212,0.001,0.0,0.0,0.779,0.998,0.998,0.938,0.998,0.998,1.0,1.0,1.0,1.0,1.0,0.0,0.006000000000000005
298,298,1000,9,0.9,,0.03,,0.491,0.509,0.509,0.0,0.0,0.0,0.731,1.0,0.999,0.945,1.0,1.0,0.999,0.999,1.0,0.999,1.0,0.00099999999999989,0.0010000000000000009
