iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,minority_colluding,optimal_agrees_majority
1000.0,5.0,0.75,,0.04,,0.902,0.098,0.0,0.0,0.0,0.652,0.998
1000.0,5.0,0.75,,0.07,,0.41100000000000003,0.499,0.08800000000000001,0.002,0.002,0.684,0.971
1000.0,5.0,0.75,,0.08,,0.294,0.5770000000000001,0.125,0.004,0.004,0.715,0.971
1000.0,5.0,0.75,,0.09,,0.23,0.594,0.163,0.013000000000000001,0.013000000000000001,0.688,0.9640000000000001
1000.0,5.0,0.75,,0.12,,0.09300000000000001,0.595,0.265,0.047,0.047,0.738,0.946
1000.0,5.0,0.75,,0.13,,0.081,0.556,0.29600000000000004,0.067,0.067,0.75,0.9359999999999999
1000.0,5.0,0.75,,0.14,,0.073,0.539,0.298,0.09,0.09,0.757,0.9279999999999999
1000.0,5.0,0.8,,0.02,,1.0,0.0,0.0,0.0,0.0,0.6990000000000001,1.0
1000.0,5.0,0.8,,0.03,,0.9990000000000001,0.001,0.0,0.0,0.0,0.733,1.0
1000.0,5.0,0.8,,0.04,,0.938,0.06,0.002,0.0,0.0,0.693,0.9990000000000001
1000.0,5.0,0.8,,0.07,,0.45,0.502,0.044000000000000004,0.004,0.004,0.7509999999999999,0.975
1000.0,5.0,0.8,,0.08,,0.36200000000000004,0.5429999999999999,0.08800000000000001,0.006999999999999999,0.006999999999999999,0.754,0.9790000000000001
1000.0,5.0,0.8,,0.09,,0.264,0.5820000000000001,0.14300000000000002,0.011000000000000001,0.011000000000000001,0.7559999999999999,0.97
1000.0,5.0,0.8,,0.12,,0.125,0.6,0.25,0.025,0.025,0.79,0.965
1000.0,5.0,0.8,,0.13,,0.094,0.585,0.27399999999999997,0.047,0.047,0.8009999999999999,0.9420000000000001
1000.0,5.0,0.8,,0.14,,0.08,0.5920000000000001,0.285,0.043,0.043,0.802,0.956
1000.0,5.0,0.85,,0.02,,1.0,0.0,0.0,0.0,0.0,0.7859999999999999,1.0
1000.0,5.0,0.85,,0.03,,0.99,0.01,0.0,0.0,0.0,0.782,1.0
1000.0,5.0,0.85,,0.04,,0.925,0.073,0.002,0.0,0.0,0.792,0.9990000000000001
1000.0,5.0,0.85,,0.07,,0.446,0.501,0.05,0.003,0.003,0.8109999999999999,0.991
