voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,0.65,0.04,0.65,0.0399999999999999,0.734,0.0,0.084,0.739,0.005
5,0.65,0.04,0.65,0.0399999999999999,0.734,0.0,0.084,0.731,-0.003
7,0.65,0.04,0.65,0.0399999999999999,0.794,0.03,0.144,0.796,0.002
9,0.65,0.04,0.65,0.0399999999999999,0.852,0.029,0.202,0.851,-0.001
11,0.65,0.04,0.65,0.0399999999999999,0.849,-0.002,0.199,0.852,0.003
21,0.65,0.04,0.65,0.0399999999999999,0.931,0.041,0.281,0.923,-0.008
31,0.65,0.04,0.65,0.0399999999999999,0.956,0.012,0.306,0.957,0.001
41,0.65,0.04,0.65,0.0399999999999999,0.971,0.008,0.321,0.979,0.008
51,0.65,0.04,0.65,0.0399999999999999,0.985,0.007,0.335,0.987,0.002
3,0.65,0.08,0.6499976482806836,0.0799948701132006,0.712,0.0,0.062,0.729,0.017
5,0.65,0.08,0.6499976482806836,0.0799948701132006,0.753,0.021,0.103,0.78,0.027
7,0.65,0.08,0.6499976482806836,0.0799948701132006,0.774,0.011,0.124,0.804,0.03
9,0.65,0.08,0.6499976482806836,0.0799948701132006,0.829,0.027,0.179,0.864,0.035
11,0.65,0.08,0.6499976482806836,0.0799948701132006,0.858,0.015,0.208,0.891,0.033
21,0.65,0.08,0.6499976482806836,0.0799948701132006,0.922,0.032,0.272,0.957,0.035
31,0.65,0.08,0.6499976482806836,0.0799948701132006,0.956,0.017,0.306,0.978,0.022
41,0.65,0.08,0.6499976482806836,0.0799948701132006,0.974,0.009,0.324,0.986,0.012
51,0.65,0.08,0.6499976482806836,0.0799948701132006,0.987,0.007,0.337,0.995,0.008
3,0.65,0.16,0.6440157333110005,0.1531613188519223,0.733,0.0,0.089,0.796,0.063
5,0.65,0.16,0.6440157333110005,0.1531613188519223,0.789,0.028,0.145,0.855,0.066
7,0.65,0.16,0.6440157333110005,0.1531613188519223,0.798,0.005,0.154,0.891,0.093
9,0.65,0.16,0.6440157333110005,0.1531613188519223,0.803,0.003,0.159,0.922,0.119
11,0.65,0.16,0.6440157333110005,0.1531613188519223,0.832,0.014,0.188,0.935,0.103
21,0.65,0.16,0.6440157333110005,0.1531613188519223,0.914,0.041,0.27,0.981,0.067
31,0.65,0.16,0.6440157333110005,0.1531613188519223,0.955,0.02,0.311,0.998,0.043
41,0.65,0.16,0.6440157333110005,0.1531613188519223,0.973,0.009,0.329,1.0,0.027
51,0.65,0.16,0.6440157333110005,0.1531613188519223,0.977,0.002,0.333,1.0,0.023
3,0.65,0.32,0.5856645387734013,0.2375598604965703,0.609,0.0,0.023,0.832,0.223
5,0.65,0.32,0.5856645387734013,0.2375598604965703,0.674,0.033,0.088,0.904,0.23
7,0.65,0.32,0.5856645387734013,0.2375598604965703,0.693,0.009,0.107,0.946,0.253
9,0.65,0.32,0.5856645387734013,0.2375598604965703,0.689,-0.002,0.103,0.954,0.265
11,0.65,0.32,0.5856645387734013,0.2375598604965703,0.697,0.004,0.111,0.98,0.283
21,0.65,0.32,0.5856645387734013,0.2375598604965703,0.796,0.05,0.21,0.992,0.196
31,0.65,0.32,0.5856645387734013,0.2375598604965703,0.814,0.009,0.228,1.0,0.186
41,0.65,0.32,0.5856645387734013,0.2375598604965703,0.876,0.031,0.29,1.0,0.124
51,0.65,0.32,0.5856645387734013,0.2375598604965703,0.883,0.004,0.297,1.0,0.117
3,0.65,0.64,0.5279526215413912,0.2757523556640001,0.555,0.0,0.027,0.867,0.312
5,0.65,0.64,0.5279526215413912,0.2757523556640001,0.569,0.007,0.041,0.934,0.365
7,0.65,0.64,0.5279526215413912,0.2757523556640001,0.57,0.001,0.042,0.956,0.386
