voters,mean,std,ratio_difference_to_mean,ratio_correct
11,0.8,0.08,0.954,0.991
21,0.8,0.08,1.0,1.0
31,0.8,0.08,1.0,1.0
41,0.8,0.08,1.0,1.0
51,0.8,0.08,1.0,1.0
3,0.8,0.16,0.794,0.969
5,0.8,0.16,0.842,0.97
7,0.8,0.16,0.86,0.972
9,0.8,0.16,0.896,0.977
11,0.8,0.16,0.906,0.979
21,0.8,0.16,0.974,0.994
31,0.8,0.16,1.0,1.0
41,0.8,0.16,1.0,1.0
51,0.8,0.16,1.0,1.0
3,0.8,0.32,0.324,0.841
5,0.8,0.32,0.521,0.866
7,0.8,0.32,0.561,0.865
9,0.8,0.32,0.565,0.865
11,0.8,0.32,0.669,0.891
21,0.8,0.32,0.825,0.941
31,0.8,0.32,0.899,0.966
41,0.8,0.32,0.953,0.984
51,0.8,0.32,0.979,0.993
3,0.8,0.64,0.203,0.703
5,0.8,0.64,0.087,0.636
7,0.8,0.64,0.206,0.666
9,0.8,0.64,0.167,0.643
11,0.8,0.64,0.214,0.657
21,0.8,0.64,0.296,0.688
31,0.8,0.64,0.405,0.736
41,0.8,0.64,0.441,0.752
51,0.8,0.64,0.529,0.791
3,0.8,1.28,0.003,0.584
5,0.8,1.28,0.002,0.544
7,0.8,1.28,0.051,0.555
9,0.8,1.28,0.03,0.54
11,0.8,1.28,0.091,0.564
21,0.8,1.28,0.116,0.572
31,0.8,1.28,0.07,0.549
41,0.8,1.28,0.14,0.583
51,0.8,1.28,0.136,0.581
3,0.8,2.56,-0.008,0.573
5,0.8,2.56,-0.046,0.515
7,0.8,2.56,0.077,0.563
9,0.8,2.56,0.015,0.522
11,0.8,2.56,0.008,0.513
21,0.8,2.56,0.032,0.52
31,0.8,2.56,0.02,0.514
41,0.8,2.56,0.008,0.508
51,0.8,2.56,0.034,0.521
3,0.85,0.02,1.0,1.0
5,0.85,0.02,1.0,1.0
7,0.85,0.02,1.0,1.0
9,0.85,0.02,1.0,1.0
11,0.85,0.02,1.0,1.0
21,0.85,0.02,1.0,1.0
31,0.85,0.02,1.0,1.0
41,0.85,0.02,1.0,1.0
51,0.85,0.02,1.0,1.0
3,0.85,0.04,1.0,1.0
5,0.85,0.04,1.0,1.0
7,0.85,0.04,0.986,0.998
9,0.85,0.04,1.0,1.0
11,0.85,0.04,1.0,1.0
21,0.85,0.04,1.0,1.0
31,0.85,0.04,1.0,1.0
41,0.85,0.04,1.0,1.0
51,0.85,0.04,1.0,1.0
3,0.85,0.08,0.98,0.998
5,0.85,0.08,0.977,0.997
7,0.85,0.08,0.965,0.995
9,0.85,0.08,0.993,0.999
11,0.85,0.08,0.994,0.999
21,0.85,0.08,1.0,1.0
31,0.85,0.08,1.0,1.0
41,0.85,0.08,1.0,1.0
51,0.85,0.08,1.0,1.0
3,0.85,0.16,0.773,0.971
5,0.85,0.16,0.892,0.981
7,0.85,0.16,0.916,0.985
9,0.85,0.16,0.927,0.986
11,0.85,0.16,0.924,0.985
21,0.85,0.16,0.995,0.999
31,0.85,0.16,1.0,1.0
41,0.85,0.16,1.0,1.0
51,0.85,0.16,1.0,1.0
3,0.85,0.32,0.385,0.861
