,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
589,11,Upper,Lower,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
590,21,Upper,Lower,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
591,31,Upper,Lower,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
592,41,Upper,Lower,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
593,51,Upper,Lower,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
603,3,Upper,Medium,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.96,0.01,0.108,0.953,0.003,0.101,0.007,0.0,0.0,0.935,,0.993
604,5,Upper,Medium,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.984,0.034,0.132,0.979,0.029,0.127,0.005,0.013,0.012,0.962,1.083,0.995
605,7,Upper,Medium,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.993,0.043,0.141,0.985,0.035,0.133,0.008,0.003,0.005,0.943,0.6,0.992
606,9,Upper,Medium,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.998,0.048,0.146,0.997,0.047,0.145,0.001,0.006,0.003,0.993,2.0,0.999
607,11,Upper,Medium,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.997,0.047,0.145,0.996,0.046,0.144,0.001,-0.001,-0.001,0.993,1.0,0.999
608,21,Upper,Medium,"TruncNorm[0.001,0.999]",1000,0.852,0.106,1.0,0.05,0.148,1.0,0.05,0.148,0.0,0.002,0.002,1.0,1.0,1.0
609,31,Upper,Medium,"TruncNorm[0.001,0.999]",1000,0.852,0.106,1.0,0.05,0.148,1.0,0.05,0.148,0.0,0.0,0.0,1.0,,1.0
610,41,Upper,Medium,"TruncNorm[0.001,0.999]",1000,0.852,0.106,1.0,0.05,0.148,1.0,0.05,0.148,0.0,0.0,0.0,1.0,,1.0
611,51,Upper,Medium,"TruncNorm[0.001,0.999]",1000,0.852,0.106,1.0,0.05,0.148,1.0,0.05,0.148,0.0,0.0,0.0,1.0,,1.0
621,3,Upper,Upper,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.875,-0.075,0.292,0.632,-0.318,0.049,0.243,0.0,0.0,0.168,,0.722
622,5,Upper,Upper,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.921,-0.029,0.338,0.65,-0.3,0.067,0.271,0.009,0.023,0.198,0.391,0.706
623,7,Upper,Upper,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.962,0.012,0.379,0.664,-0.286,0.081,0.298,0.007,0.02,0.214,0.35,0.69
624,9,Upper,Upper,"TruncNorm[0.001,0.999]",1000,0.583,0.27,0.974,0.024,0.391,0.697,-0.253,0.114,0.277,0.016,0.006,0.292,2.667,0.716
