voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,0.884,0.334,0.135,0.84,0.29,0.091,0.044,0.0,0.0,0.673,,0.95
5,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,0.938,0.388,0.189,0.886,0.336,0.137,0.052,0.023,0.027,0.724,0.852,0.945
7,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,0.973,0.423,0.224,0.936,0.386,0.187,0.037,0.025,0.018,0.835,1.389,0.962
9,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,0.975,0.425,0.226,0.942,0.392,0.193,0.033,0.003,0.001,0.854,3.0,0.966
11,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,0.991,0.441,0.242,0.963,0.413,0.214,0.028,0.011,0.008,0.884,1.375,0.972
21,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,0.999,0.449,0.25,0.989,0.439,0.24,0.01,0.013,0.004,0.96,3.25,0.99
31,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,1.0,0.45,0.251,0.998,0.448,0.249,0.002,0.005,0.001,0.992,5.0,0.998
41,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,1.0,0.45,0.251,1.0,0.45,0.251,0.0,0.001,0.0,1.0,inf,1.0
51,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,1.0,0.45,0.251,1.0,0.45,0.251,0.0,0.0,0.0,1.0,,1.0
3,0.6,0.01,"TruncNorm[0.501,0.999]",1000,0.6,0.01,0.675,0.075,0.075,0.675,0.075,0.075,0.0,0.0,0.0,1.0,,1.0
5,0.6,0.01,"TruncNorm[0.501,0.999]",1000,0.6,0.01,0.675,0.075,0.075,0.675,0.075,0.075,0.0,0.0,0.0,1.0,,1.0
7,0.6,0.01,"TruncNorm[0.501,0.999]",1000,0.6,0.01,0.693,0.093,0.093,0.692,0.092,0.092,0.001,0.008,0.009,0.989,0.889,0.999
9,0.6,0.01,"TruncNorm[0.501,0.999]",1000,0.6,0.01,0.745,0.145,0.145,0.745,0.145,0.145,0.0,0.027,0.026,1.0,1.038,1.0
11,0.6,0.01,"TruncNorm[0.501,0.999]",1000,0.6,0.01,0.749,0.149,0.149,0.748,0.148,0.148,0.001,0.002,0.002,0.993,1.0,0.999
21,0.6,0.01,"TruncNorm[0.501,0.999]",1000,0.6,0.01,0.84,0.24,0.24,0.84,0.24,0.24,0.0,0.046,0.045,1.0,1.022,1.0
31,0.6,0.01,"TruncNorm[0.501,0.999]",1000,0.6,0.01,0.886,0.286,0.286,0.883,0.283,0.283,0.003,0.022,0.023,0.99,0.957,0.997
41,0.6,0.01,"TruncNorm[0.501,0.999]",1000,0.6,0.01,0.903,0.303,0.303,0.9,0.3,0.3,0.003,0.009,0.009,0.99,1.0,0.997
51,0.6,0.01,"TruncNorm[0.501,0.999]",1000,0.6,0.01,0.932,0.332,0.332,0.931,0.331,0.331,0.001,0.016,0.015,0.997,1.067,0.999
3,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.663,0.063,0.063,0.663,0.063,0.063,0.0,0.0,0.0,1.0,,1.0
5,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.679,0.079,0.079,0.681,0.081,0.081,-0.002,0.009,0.008,1.025,1.125,1.003
7,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.688,0.088,0.088,0.689,0.089,0.089,-0.001,0.004,0.004,1.011,1.0,1.001
9,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.718,0.118,0.118,0.718,0.118,0.118,0.0,0.015,0.015,1.0,1.0,1.0
11,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.749,0.149,0.149,0.748,0.148,0.148,0.001,0.015,0.016,0.993,0.938,0.999
21,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.823,0.223,0.223,0.823,0.223,0.223,0.0,0.037,0.037,1.0,1.0,1.0
31,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.88,0.28,0.28,0.873,0.273,0.273,0.007,0.025,0.029,0.975,0.862,0.992
41,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.886,0.286,0.286,0.888,0.288,0.288,-0.002,0.008,0.003,1.007,2.667,1.002
51,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.939,0.339,0.339,0.933,0.333,0.333,0.006,0.023,0.026,0.982,0.885,0.994
3,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.644,0.044,0.043,0.638,0.038,0.037,0.006,0.0,0.0,0.861,,0.991
5,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.707,0.107,0.106,0.703,0.103,0.102,0.004,0.032,0.031,0.962,1.032,0.994
7,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.71,0.11,0.109,0.711,0.111,0.11,-0.001,0.004,0.002,1.009,2.0,1.001
9,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.737,0.137,0.136,0.718,0.118,0.117,0.019,0.004,0.014,0.861,0.286,0.974
11,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.775,0.175,0.174,0.764,0.164,0.163,0.011,0.023,0.019,0.937,1.211,0.986
21,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.853,0.253,0.252,0.846,0.246,0.245,0.007,0.041,0.039,0.972,1.051,0.992
31,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.899,0.299,0.298,0.871,0.271,0.27,0.028,0.013,0.023,0.906,0.565,0.969
41,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.93,0.33,0.329,0.922,0.322,0.321,0.008,0.026,0.016,0.976,1.625,0.991
51,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.934,0.334,0.333,0.921,0.321,0.32,0.013,-0.001,0.002,0.961,-0.5,0.986
3,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.673,0.073,0.056,0.649,0.049,0.032,0.024,0.0,0.0,0.574,,0.964
5,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.736,0.136,0.119,0.722,0.122,0.105,0.014,0.036,0.031,0.883,1.161,0.981
7,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.766,0.166,0.149,0.721,0.121,0.104,0.045,-0.001,0.015,0.699,-0.067,0.941
9,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.785,0.185,0.168,0.769,0.169,0.152,0.016,0.024,0.01,0.905,2.4,0.98
11,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.827,0.227,0.21,0.783,0.183,0.166,0.044,0.007,0.021,0.791,0.333,0.947
21,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.894,0.294,0.277,0.856,0.256,0.239,0.038,0.036,0.034,0.863,1.059,0.957
31,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.935,0.335,0.318,0.903,0.303,0.286,0.032,0.024,0.021,0.899,1.143,0.966
41,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.956,0.356,0.339,0.933,0.333,0.316,0.023,0.015,0.01,0.932,1.5,0.976
51,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.967,0.367,0.35,0.948,0.348,0.331,0.019,0.007,0.006,0.946,1.167,0.98
3,0.6,0.16,"TruncNorm[0.501,0.999]",1000,0.6687140065796335,0.1100940672007376,0.777,0.177,0.108,0.726,0.126,0.057,0.051,0.0,0.0,0.529,,0.934
5,0.6,0.16,"TruncNorm[0.501,0.999]",1000,0.6687140065796335,0.1100940672007376,0.844,0.244,0.175,0.82,0.22,0.151,0.024,0.047,0.033,0.863,1.424,0.972
7,0.6,0.16,"TruncNorm[0.501,0.999]",1000,0.6687140065796335,0.1100940672007376,0.859,0.259,0.19,0.824,0.224,0.155,0.035,0.002,0.008,0.816,0.25,0.959
9,0.6,0.16,"TruncNorm[0.501,0.999]",1000,0.6687140065796335,0.1100940672007376,0.919,0.319,0.25,0.864,0.264,0.195,0.055,0.02,0.03,0.78,0.667,0.94
11,0.6,0.16,"TruncNorm[0.501,0.999]",1000,0.6687140065796335,0.1100940672007376,0.925,0.325,0.256,0.876,0.276,0.207,0.049,0.006,0.003,0.809,2.0,0.947
21,0.6,0.16,"TruncNorm[0.501,0.999]",1000,0.6687140065796335,0.1100940672007376,0.974,0.374,0.305,0.945,0.345,0.276,0.029,0.034,0.024,0.905,1.417,0.97
