voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
5,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,0.943,0.343,0.438,0.539,-0.061,0.034,0.404,0.021,0.037,0.078,0.568,0.572
7,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,0.973,0.373,0.468,0.516,-0.084,0.011,0.457,-0.012,0.015,0.024,-0.8,0.53
9,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,0.982,0.382,0.477,0.531,-0.069,0.026,0.451,0.008,0.005,0.055,1.6,0.541
11,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,0.984,0.384,0.479,0.535,-0.065,0.03,0.449,0.002,0.001,0.063,2.0,0.544
21,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,1.0,0.4,0.495,0.519,-0.081,0.014,0.481,-0.008,0.008,0.028,-1.0,0.519
31,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,1.0,0.4,0.495,0.534,-0.066,0.029,0.466,0.008,0.0,0.059,inf,0.534
41,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,1.0,0.4,0.495,0.501,-0.099,-0.004,0.499,-0.017,0.0,-0.008,-inf,0.501
51,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,1.0,0.4,0.495,0.556,-0.044,0.051,0.444,0.028,0.0,0.103,inf,0.556
3,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,0.881,0.281,0.38,0.543,-0.057,0.042,0.338,0.0,0.0,0.111,,0.616
5,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,0.946,0.346,0.445,0.506,-0.094,0.005,0.44,-0.019,0.032,0.011,-0.594,0.535
7,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,0.967,0.367,0.466,0.481,-0.119,-0.02,0.486,-0.013,0.011,-0.043,-1.182,0.497
9,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,0.98,0.38,0.479,0.539,-0.061,0.038,0.441,0.029,0.007,0.079,4.143,0.55
11,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,0.991,0.391,0.49,0.504,-0.096,0.003,0.487,-0.018,0.006,0.006,-3.0,0.509
21,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,1.0,0.4,0.499,0.507,-0.093,0.006,0.493,0.002,0.005,0.012,0.4,0.507
31,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,1.0,0.4,0.499,0.507,-0.093,0.006,0.493,0.0,0.0,0.012,,0.507
41,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,1.0,0.4,0.499,0.525,-0.075,0.024,0.475,0.009,0.0,0.048,inf,0.525
51,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,1.0,0.4,0.499,0.5,-0.1,-0.001,0.5,-0.013,0.0,-0.002,-inf,0.5
3,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.717,0.067,0.067,0.717,0.067,0.067,0.0,0.0,0.0,1.0,,1.0
5,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.751,0.101,0.101,0.752,0.102,0.102,-0.001,0.018,0.017,1.01,1.059,1.001
7,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.794,0.144,0.144,0.794,0.144,0.144,0.0,0.021,0.022,1.0,0.955,1.0
9,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.839,0.189,0.189,0.842,0.192,0.192,-0.003,0.024,0.022,1.016,1.091,1.004
11,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.857,0.207,0.207,0.857,0.207,0.207,0.0,0.008,0.009,1.0,0.889,1.0
21,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.929,0.279,0.279,0.929,0.279,0.279,0.0,0.036,0.036,1.0,1.0,1.0
31,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.949,0.299,0.299,0.948,0.298,0.298,0.001,0.009,0.01,0.997,0.9,0.999
41,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.958,0.308,0.308,0.958,0.308,0.308,0.0,0.005,0.005,1.0,1.0,1.0
51,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.991,0.341,0.341,0.99,0.34,0.34,0.001,0.016,0.017,0.997,0.941,0.999
3,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.739,0.089,0.089,0.734,0.084,0.084,0.005,0.0,0.0,0.944,,0.993
5,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.731,0.081,0.081,0.734,0.084,0.084,-0.003,0.0,-0.004,1.037,-0.0,1.004
7,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.796,0.146,0.146,0.794,0.144,0.144,0.002,0.03,0.033,0.986,0.909,0.997
9,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.851,0.201,0.201,0.852,0.202,0.202,-0.001,0.029,0.027,1.005,1.074,1.001
11,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.852,0.202,0.202,0.849,0.199,0.199,0.003,-0.002,0.001,0.985,-2.0,0.996
21,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.923,0.273,0.273,0.931,0.281,0.281,-0.008,0.041,0.036,1.029,1.139,1.009
31,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.957,0.307,0.307,0.956,0.306,0.306,0.001,0.012,0.017,0.997,0.706,0.999
41,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.979,0.329,0.329,0.971,0.321,0.321,0.008,0.008,0.011,0.976,0.727,0.992
51,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.987,0.337,0.337,0.985,0.335,0.335,0.002,0.007,0.004,0.994,1.75,0.998
3,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.729,0.079,0.079,0.712,0.062,0.062,0.017,0.0,0.0,0.785,,0.977
5,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.78,0.13,0.13,0.753,0.103,0.103,0.027,0.021,0.026,0.792,0.808,0.965
7,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.804,0.154,0.154,0.774,0.124,0.124,0.03,0.011,0.012,0.805,0.917,0.963
9,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.864,0.214,0.214,0.829,0.179,0.179,0.035,0.027,0.03,0.836,0.9,0.959
11,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.891,0.241,0.241,0.858,0.208,0.208,0.033,0.015,0.014,0.863,1.071,0.963
21,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.957,0.307,0.307,0.922,0.272,0.272,0.035,0.032,0.033,0.886,0.97,0.963
31,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.978,0.328,0.328,0.956,0.306,0.306,0.022,0.017,0.011,0.933,1.545,0.978
41,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.986,0.336,0.336,0.974,0.324,0.324,0.012,0.009,0.004,0.964,2.25,0.988
51,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.995,0.345,0.345,0.987,0.337,0.337,0.008,0.007,0.005,0.977,1.4,0.992
3,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,0.796,0.146,0.152,0.733,0.083,0.089,0.063,0.0,0.0,0.586,,0.921
5,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,0.855,0.205,0.211,0.789,0.139,0.145,0.066,0.028,0.029,0.687,0.966,0.923
7,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,0.891,0.241,0.247,0.798,0.148,0.154,0.093,0.005,0.018,0.623,0.278,0.896
9,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,0.922,0.272,0.278,0.803,0.153,0.159,0.119,0.003,0.016,0.572,0.188,0.871
11,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,0.935,0.285,0.291,0.832,0.182,0.188,0.103,0.014,0.007,0.646,2.0,0.89
21,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,0.981,0.331,0.337,0.914,0.264,0.27,0.067,0.041,0.023,0.801,1.783,0.932
31,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,0.998,0.348,0.354,0.955,0.305,0.311,0.043,0.02,0.009,0.879,2.222,0.957
41,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,1.0,0.35,0.356,0.973,0.323,0.329,0.027,0.009,0.001,0.924,9.0,0.973
51,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,1.0,0.35,0.356,0.977,0.327,0.333,0.023,0.002,0.0,0.935,inf,0.977
3,0.65,0.32,"TruncNorm[0.001,0.999]",1000,0.5856645387734013,0.2375598604965703,0.832,0.182,0.246,0.609,-0.041,0.023,0.223,0.0,0.0,0.093,,0.732
