voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
21,0.65,0.01,0.65,0.01,0.904,0.023,0.254,0.904,0.0
31,0.65,0.01,0.65,0.01,0.958,0.027,0.308,0.958,0.0
41,0.65,0.01,0.65,0.01,0.976,0.009,0.326,0.975,-0.001
51,0.65,0.01,0.65,0.01,0.988,0.006,0.338,0.988,0.0
3,0.65,0.02,0.6500000000000071,0.0199999999999736,0.71,0.0,0.06,0.71,0.0
5,0.65,0.02,0.6500000000000071,0.0199999999999736,0.759,0.025,0.109,0.759,0.0
7,0.65,0.02,0.6500000000000071,0.0199999999999736,0.804,0.023,0.154,0.802,-0.002
9,0.65,0.02,0.6500000000000071,0.0199999999999736,0.826,0.011,0.176,0.828,0.002
11,0.65,0.02,0.6500000000000071,0.0199999999999736,0.858,0.016,0.208,0.856,-0.002
21,0.65,0.02,0.6500000000000071,0.0199999999999736,0.916,0.029,0.266,0.916,0.0
31,0.65,0.02,0.6500000000000071,0.0199999999999736,0.958,0.021,0.308,0.958,0.0
41,0.65,0.02,0.6500000000000071,0.0199999999999736,0.975,0.009,0.325,0.98,0.005
51,0.65,0.02,0.6500000000000071,0.0199999999999736,0.976,0.001,0.326,0.979,0.003
3,0.65,0.04,0.6500154866964568,0.0399711426205227,0.727,0.0,0.077,0.727,0.0
5,0.65,0.04,0.6500154866964568,0.0399711426205227,0.755,0.014,0.105,0.764,0.009
7,0.65,0.04,0.6500154866964568,0.0399711426205227,0.789,0.017,0.139,0.792,0.003
9,0.65,0.04,0.6500154866964568,0.0399711426205227,0.832,0.021,0.182,0.841,0.009
11,0.65,0.04,0.6500154866964568,0.0399711426205227,0.842,0.005,0.192,0.848,0.006
21,0.65,0.04,0.6500154866964568,0.0399711426205227,0.913,0.036,0.263,0.925,0.012
31,0.65,0.04,0.6500154866964568,0.0399711426205227,0.957,0.022,0.307,0.961,0.004
41,0.65,0.04,0.6500154866964568,0.0399711426205227,0.973,0.008,0.323,0.978,0.005
51,0.65,0.04,0.6500154866964568,0.0399711426205227,0.983,0.005,0.333,0.987,0.004
3,0.65,0.08,0.6558123768511287,0.0741549942245894,0.731,0.0,0.075,0.739,0.008
5,0.65,0.08,0.6558123768511287,0.0741549942245894,0.773,0.021,0.117,0.773,0.0
7,0.65,0.08,0.6558123768511287,0.0741549942245894,0.808,0.018,0.152,0.818,0.01
9,0.65,0.08,0.6558123768511287,0.0741549942245894,0.854,0.023,0.198,0.87,0.016
11,0.65,0.08,0.6558123768511287,0.0741549942245894,0.868,0.007,0.212,0.87,0.002
21,0.65,0.08,0.6558123768511287,0.0741549942245894,0.932,0.032,0.276,0.946,0.014
31,0.65,0.08,0.6558123768511287,0.0741549942245894,0.959,0.013,0.303,0.974,0.015
41,0.65,0.08,0.6558123768511287,0.0741549942245894,0.977,0.009,0.321,0.988,0.011
51,0.65,0.08,0.6558123768511287,0.0741549942245894,0.989,0.006,0.333,0.994,0.005
3,0.65,0.16,0.6938003471266702,0.116263980745898,0.776,0.0,0.082,0.807,0.031
5,0.65,0.16,0.6938003471266702,0.116263980745898,0.828,0.026,0.134,0.869,0.041
7,0.65,0.16,0.6938003471266702,0.116263980745898,0.863,0.018,0.169,0.89,0.027
9,0.65,0.16,0.6938003471266702,0.116263980745898,0.905,0.021,0.211,0.931,0.026
11,0.65,0.16,0.6938003471266702,0.116263980745898,0.911,0.003,0.217,0.959,0.048
21,0.65,0.16,0.6938003471266702,0.116263980745898,0.972,0.03,0.278,0.988,0.016
31,0.65,0.16,0.6938003471266702,0.116263980745898,0.99,0.009,0.296,0.995,0.005
41,0.65,0.16,0.6938003471266702,0.116263980745898,0.996,0.003,0.302,1.0,0.004
51,0.65,0.16,0.6938003471266702,0.116263980745898,1.0,0.002,0.306,1.0,0.0
3,0.65,0.32,0.7314605510070987,0.1373207448153733,0.845,0.0,0.114,0.868,0.023
5,0.65,0.32,0.7314605510070987,0.1373207448153733,0.888,0.022,0.157,0.936,0.048
7,0.65,0.32,0.7314605510070987,0.1373207448153733,0.908,0.01,0.177,0.944,0.036
9,0.65,0.32,0.7314605510070987,0.1373207448153733,0.933,0.013,0.202,0.966,0.033
11,0.65,0.32,0.7314605510070987,0.1373207448153733,0.953,0.01,0.222,0.981,0.028
21,0.65,0.32,0.7314605510070987,0.1373207448153733,0.994,0.021,0.263,1.0,0.006
31,0.65,0.32,0.7314605510070987,0.1373207448153733,0.997,0.002,0.266,1.0,0.003
41,0.65,0.32,0.7314605510070987,0.1373207448153733,0.999,0.001,0.268,1.0,0.001
51,0.65,0.32,0.7314605510070987,0.1373207448153733,1.0,0.001,0.269,1.0,0.0
3,0.65,0.64,0.7450566115747727,0.1422621385524325,0.846,0.0,0.101,0.871,0.025
5,0.65,0.64,0.7450566115747727,0.1422621385524325,0.89,0.022,0.145,0.935,0.045
7,0.65,0.64,0.7450566115747727,0.1422621385524325,0.937,0.024,0.192,0.973,0.036
9,0.65,0.64,0.7450566115747727,0.1422621385524325,0.945,0.004,0.2,0.987,0.042
11,0.65,0.64,0.7450566115747727,0.1422621385524325,0.959,0.007,0.214,0.982,0.023
21,0.65,0.64,0.7450566115747727,0.1422621385524325,0.988,0.015,0.243,0.998,0.01
31,0.65,0.64,0.7450566115747727,0.1422621385524325,0.999,0.006,0.254,1.0,0.001
41,0.65,0.64,0.7450566115747727,0.1422621385524325,0.999,0.0,0.254,1.0,0.001
51,0.65,0.64,0.7450566115747727,0.1422621385524325,1.0,0.001,0.255,1.0,0.0
3,0.65,1.28,0.7487449587291474,0.1433944520081984,0.844,0.0,0.095,0.877,0.033
5,0.65,1.28,0.7487449587291474,0.1433944520081984,0.892,0.024,0.143,0.947,0.055
7,0.65,1.28,0.7487449587291474,0.1433944520081984,0.93,0.019,0.181,0.969,0.039
9,0.65,1.28,0.7487449587291474,0.1433944520081984,0.949,0.009,0.2,0.979,0.03
11,0.65,1.28,0.7487449587291474,0.1433944520081984,0.961,0.006,0.212,0.982,0.021
21,0.65,1.28,0.7487449587291474,0.1433944520081984,0.991,0.015,0.242,0.998,0.007
31,0.65,1.28,0.7487449587291474,0.1433944520081984,0.998,0.004,0.249,1.0,0.002
41,0.65,1.28,0.7487449587291474,0.1433944520081984,0.999,0.001,0.25,1.0,0.001
51,0.65,1.28,0.7487449587291474,0.1433944520081984,1.0,0.001,0.251,1.0,0.0
3,0.65,2.56,0.7496850445205746,0.143669351859656,0.838,0.0,0.088,0.888,0.05
5,0.65,2.56,0.7496850445205746,0.143669351859656,0.919,0.041,0.169,0.943,0.024
7,0.65,2.56,0.7496850445205746,0.143669351859656,0.937,0.009,0.187,0.971,0.034
9,0.65,2.56,0.7496850445205746,0.143669351859656,0.952,0.007,0.202,0.978,0.026
11,0.65,2.56,0.7496850445205746,0.143669351859656,0.959,0.004,0.209,0.991,0.032
21,0.65,2.56,0.7496850445205746,0.143669351859656,0.992,0.017,0.242,0.999,0.007
31,0.65,2.56,0.7496850445205746,0.143669351859656,0.998,0.003,0.248,1.0,0.002
