Unnamed: 0.1,Unnamed: 0,voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
62.0,31.0,3.0,0.7,0.08,1000.0,0.7014264121509118,0.801,0.101,0.0995735878490882,0.792,0.092,0.0905735878490882,0.009,0.0,0.0,0.9108910891089108,,0.9887640449438202
63.0,112.0,5.0,0.7,0.08,1000.0,0.7014264121509118,0.837,0.137,0.1355735878490881,0.823,0.123,0.1215735878490881,0.014,0.0309999999999999,0.0359999999999999,0.8978102189781021,0.8611111111111107,0.983273596176822
64.0,32.0,3.0,0.7,0.09,1000.0,0.7030134592133441,0.814,0.1139999999999999,0.1109865407866558,0.812,0.1120000000000001,0.1089865407866559,0.002,0.0,0.0,0.982456140350879,,0.9975429975429976
65.0,113.0,5.0,0.7,0.09,1000.0,0.7030134592133441,0.873,0.173,0.1699865407866558,0.842,0.142,0.1389865407866558,0.031,0.0299999999999999,0.059,0.8208092485549133,0.5084745762711848,0.9644902634593356
66.0,33.0,3.0,0.7,0.12,1000.0,0.7105354504251368,0.815,0.1149999999999999,0.1044645495748631,0.806,0.1060000000000001,0.0954645495748632,0.009,0.0,0.0,0.9217391304347844,,0.988957055214724
67.0,114.0,5.0,0.7,0.12,1000.0,0.7105354504251368,0.886,0.186,0.1754645495748632,0.851,0.151,0.1404645495748632,0.035,0.0449999999999999,0.071,0.8118279569892473,0.6338028169014072,0.9604966139954852
68.0,34.0,3.0,0.7,0.13,1000.0,0.7133724283023914,0.837,0.137,0.1236275716976085,0.816,0.1159999999999999,0.1026275716976085,0.021,0.0,0.0,0.8467153284671525,,0.974910394265233
69.0,115.0,5.0,0.7,0.13,1000.0,0.7133724283023914,0.894,0.194,0.1806275716976085,0.865,0.165,0.1516275716976085,0.029,0.049,0.057,0.8505154639175257,0.8596491228070176,0.9675615212527964
70.0,35.0,3.0,0.7,0.14,1000.0,0.7161453463054095,0.844,0.144,0.1278546536945904,0.802,0.102,0.0858546536945905,0.042,0.0,0.0,0.7083333333333334,,0.9502369668246446
71.0,116.0,5.0,0.7,0.14,1000.0,0.7161453463054095,0.878,0.178,0.1618546536945905,0.855,0.155,0.1388546536945905,0.023,0.0529999999999999,0.034,0.8707865168539326,1.5588235294117616,0.9738041002277904
72.0,36.0,3.0,0.75,0.02,1000.0,0.75,0.844,0.0939999999999999,0.0939999999999999,0.844,0.0939999999999999,0.0939999999999999,0.0,0.0,0.0,1.0,,1.0
73.0,117.0,5.0,0.75,0.02,1000.0,0.75,0.891,0.141,0.141,0.891,0.141,0.141,0.0,0.047,0.047,1.0,1.0,1.0
74.0,37.0,3.0,0.75,0.03,1000.0,0.75,0.835,0.0849999999999999,0.0849999999999999,0.835,0.0849999999999999,0.0849999999999999,0.0,0.0,0.0,1.0,,1.0
75.0,38.0,3.0,0.75,0.04,1000.0,0.75,0.851,0.1009999999999999,0.1009999999999999,0.851,0.1009999999999999,0.1009999999999999,0.0,0.0,0.0,1.0,,1.0
76.0,39.0,3.0,0.75,0.07,1000.0,0.75,0.848,0.0979999999999999,0.0979999999999999,0.841,0.0909999999999999,0.0909999999999999,0.007,0.0,0.0,0.9285714285714284,,0.991745283018868
77.0,40.0,3.0,0.75,0.08,1000.0,0.75,0.853,0.1029999999999999,0.1029999999999999,0.852,0.1019999999999999,0.1019999999999999,0.001,0.0,0.0,0.9902912621359224,,0.9988276670574444
78.0,41.0,3.0,0.75,0.09,1000.0,0.75,0.846,0.0959999999999999,0.0959999999999999,0.837,0.0869999999999999,0.0869999999999999,0.009,0.0,0.0,0.9062499999999998,,0.9893617021276596
79.0,42.0,3.0,0.75,0.12,1000.0,0.75,0.853,0.1029999999999999,0.1029999999999999,0.854,0.1039999999999999,0.1039999999999999,-0.001,0.0,0.0,1.0097087378640777,,1.0011723329425557
80.0,43.0,3.0,0.75,0.13,1000.0,0.75,0.864,0.1139999999999999,0.1139999999999999,0.837,0.0869999999999999,0.0869999999999999,0.027,0.0,0.0,0.7631578947368419,,0.96875
81.0,44.0,3.0,0.75,0.14,1000.0,0.75,0.856,0.1059999999999999,0.1059999999999999,0.836,0.0859999999999999,0.0859999999999999,0.02,0.0,0.0,0.811320754716981,,0.9766355140186916
82.0,45.0,3.0,0.8,0.02,1000.0,0.8,0.894,0.0939999999999999,0.0939999999999999,0.894,0.0939999999999999,0.0939999999999999,0.0,0.0,0.0,1.0,,1.0
83.0,46.0,3.0,0.8,0.03,1000.0,0.7999999999966634,0.896,0.0959999999999999,0.0960000000033366,0.896,0.0959999999999999,0.0960000000033366,0.0,0.0,0.0,1.0,,1.0
84.0,47.0,3.0,0.8,0.04,1000.0,0.7999999326340882,0.888,0.0879999999999999,0.0880000673659118,0.888,0.0879999999999999,0.0880000673659118,0.0,0.0,0.0,1.0,,1.0
85.0,48.0,3.0,0.8,0.07,1000.0,0.7995109756477677,0.897,0.0969999999999999,0.0974890243522322,0.894,0.0939999999999999,0.0944890243522322,0.003,0.0,0.0,0.9690721649484536,,0.9966555183946488
86.0,49.0,3.0,0.8,0.08,1000.0,0.7985735878490882,0.913,0.1129999999999999,0.1144264121509118,0.91,0.1099999999999999,0.1114264121509118,0.003,0.0,0.0,0.9734513274336284,,0.9967141292442496
87.0,50.0,3.0,0.8,0.09,1000.0,0.7969865407866559,0.906,0.1059999999999999,0.1090134592133441,0.896,0.0959999999999999,0.0990134592133441,0.01,0.0,0.0,0.9056603773584904,,0.988962472406181
